sample,x_input,y_output
        410,-16351,-14786
        411,-16383,-14786
        412,-16361,-14786
        413,-16284,-14786
        414,-16154,-14786
        415,-15970,-14786
        416,-15732,-14786
        417,-15443,-14374
        418,-15103,-14374
        419,-14712,-13956
        420,-14273,-13532
        421,-13786,-13103
        422,-13254,-12669
        423,-12678,-12229
        424,-12059,-11784
        425,-11401,-11334
        426,-10705,-10879
        427, -9973, -9955
        428, -9208, -9486
        429, -8413, -8536
        430, -7590, -8055
        431, -6742, -7082
        432, -5871, -6590
        433, -4981, -5598
        434, -4074, -4595
        435, -3154, -3583
        436, -2223, -3074
        437, -1285, -2053
        438,  -343, -1027
        439,   600,     0
        440,  1541,   513
        441,  2478,  1540
        442,  3406,  2053
        443,  4323,  3074
        444,  5225,  4090
        445,  6110,  5098
        446,  6975,  5598
        447,  7817,  6590
        448,  8633,  7570
        449,  9420,  8055
        450, 10176,  9013
        451, 10898,  9486
        452, 11584, 10419
        453, 12232, 10879
        454, 12839, 11334
        455, 13404, 12229
        456, 13924, 12669
        457, 14398, 13103
        458, 14824, 13532
        459, 15201, 13532
        460, 15527, 13956
        461, 15802, 14374
        462, 16025, 14374
        463, 16194, 14786
        464, 16310, 14786
        465, 16372, 14786
        466, 16379, 14786
        467, 16332, 14786
        468, 16231, 14786
        469, 16077, 14786
        470, 15868, 14786
        471, 15607, 14374
        472, 15295, 14374
        473, 14931, 13956
        474, 14519, 13956
        475, 14058, 13532
        476, 13550, 13103
        477, 12997, 12669
        478, 12402, 12229
        479, 11765, 11784
        480, 11089, 10879
        481, 10376, 10419
        482,  9629,  9955
        483,  8851,  9013
        484,  8042,  8536
        485,  7207,  7570
        486,  6348,  7082
        487,  5468,  6096
        488,  4570,  5098
        489,  3657,  4090
        490,  2732,  3583
        491,  1797,  2564
        492,   857,  1540
        493,   -85,   513
        494, -1028,     0
        495, -1968, -1027
        496, -2901, -1540
        497, -3824, -2564
        498, -4735, -3583
        499, -5630, -4595
        500, -6506, -5098
