sample,x_in,y_out,mode
2290,-10681,-14786,1
2291, -8927,-12669,1
2292, -7144, -9955,1
2293, -5336, -7570,1
2294, -3511, -5098,1
2295, -1674, -2053,1
2296,   167,     0,1
2297,  2009,  2564,1
2298,  3844,  5598,1
2299,  5666,  8055,1
2300,  7470, 10419,1
2301,  9249, 13103,1
2302, 10997, 15192,1
2303, 12708, 17135,1
2304, 14378, 18925,1
2305, 15999, 20246,1
2306, 17568, 21758,1
2307, 19079, 22860,1
2308, 20526, 24108,1
2309, 21905, 25008,1
2310, 23211, 25827,1
2311, 24441, 26389,1
2312, 25589, 26911,1
2313, 26653, 27546,1
2314, 27628, 27840,1
2315, 28512, 28252,1
2316, 29301, 28509,1
2317, 29993, 28752,1
2318, 30585, 28982,1
2319, 31076, 29200,1
2320, 31464, 29304,1
2321, 31747, 29405,1
2322, 31925, 29405,1
2323, 31998, 29405,1
2324, 31964, 29405,1
2325, 31824, 29405,1
2326, 31579, 29304,1
2327, 31229, 29200,1
2328, 30775, 29092,1
2329, 30220, 28869,1
2330, 29564, 28632,1
2331, 28810, 28382,1
2332, 27960, 27981,1
2333, 27018, 27695,1
2334, 25986, 27237,1
2335, 24868, 26568,1
2336, 23668, 26019,1
2337, 22389, 25220,1
2338, 21036, 24341,1
2339, 19613, 23376,1
2340, 18125, 22321,1
2341, 16576, 20869,1
2342, 14973, 19264,1
2343, 13320, 17870,1
2344, 11624, 15987,1
2345,  9888, 13532,1
2346,  8120, 11334,1
2347,  6325,  9013,1
2348,  4508,  6590,1
2349,  2677,  3583,1
2350,   837,  1027,1
2351, -1005, -1027,1
2352, -2844, -4090,1
2353, -4674, -6590,1
2354, -6489, -9486,1
2355, -8282,-11784,1
2356,-10047,-13956,1
2357,-11779,-15987,1
2358,-13473,-17870,1
2359,-15121,-19598,1
2360,-16719,-20869,1
2361,-18262,-22321,1
2362,-19745,-23376,1
2363,-21161,-24341,1
2364,-22508,-25220,1
2365,-23780,-26019,1
2366,-24973,-26741,1
2367,-26084,-27237,1
2368,-27107,-27695,1
2369,-28041,-28118,1
2370,-28882,-28382,1
2371,-29627,-28632,1
2372,-30274,-28869,1
2373,-30821,-29092,1
2374,-31265,-29200,1
2375,-31606,-29304,1
2376,-31841,-29405,1
2377,-31971,-29405,1
2378,-31996,-29405,1
2379,-31914,-29405,1
2380,-31726,-29304,1
2381,-31433,-29304,1
2382,-31035,-29092,1
2383,-30535,-28982,1
2384,-29934,-28752,1
2385,-29233,-28509,1
2386,-28435,-28252,1
2387,-27543,-27840,1
2388,-26560,-27394,1
2389,-25488,-26911,1
2390,-24332,-26389,1
2391,-23096,-25629,1
2392,-21783,-24791,1
2393,-20397,-23870,1
2394,-18944,-22860,1
2395,-17428,-21758,1
2396,-15854,-20246,1
2397,-14228,-18579,1
2398,-12554,-16759,1
2399,-10839,-14786,1
2400, -9088,-12669,1
2401, -7307,-10419,1
2402, -5501, -8055,1
2403, -3677, -5098,1
2404, -1842, -2564,1
2405,     0,     0,1
2406,  1842,  2564,1
2407,  3677,  5098,1
2408,  5501,  8055,1
2409,  7307, 10419,1
2410,  9088, 12669,1
2411, 10839, 14786,1
2412, 12554, 16759,1
2413, 14228, 18579,1
2414, 15854, 20246,1
2415, 17428, 21758,1
2416, 18944, 22860,1
2417, 20397, 23870,1
2418, 21783, 24791,1
2419, 23096, 25629,1
2420, 24332, 26389,1
2421, 25488, 26911,1
2422, 26560, 27394,1
2423, 27543, 27840,1
2424, 28435, 28252,1
2425, 29233, 28509,1
2426, 29934, 28752,1
2427, 30535, 28982,1
2428, 31035, 29092,1
2429, 31433, 29304,1
2430, 31726, 29304,1
2431, 31914, 29405,1
2432, 31996, 29405,1
2433, 31971, 29405,1
2434, 31841, 29405,1
2435, 31606, 29304,1
2436, 31265, 29200,1
2437, 30821, 29092,1
2438, 30274, 28869,1
2439, 29627, 28632,1
2440, 28882, 28382,1
